title,url,author,created_time,recover,view
Win10磁贴备份工具 BackupSML v1.6,https://www.52pojie.cn/thread-1923987-1-1.html,skingnemo,2024-5-14 12:22,53,1863
网络管理工具 NETworkManager 2024.4.21.0,https://www.52pojie.cn/thread-1916783-1-1.html,skingnemo,2024-4-23 13:54,359,17198
异地组网工具 Radmin_LAN_v1.3.4568.3,https://www.52pojie.cn/thread-1782308-1-1.html,skingnemo,2023-5-6 22:58,567,41237
[tkinter实现]汉字笔顺小软件,https://www.52pojie.cn/thread-1917982-1-1.html,liuchangng,2024-4-26 12:28,11,412
ShareX 全功能截图 v16.0.1 便携版 | 附图床配置，发帖再也不怕找不到图床了,https://www.52pojie.cn/thread-1902470-1-1.html,风之暇想,2024-3-18 15:31,136,8028
音乐播放器 fooboxV7.25——基于foobar2000汉化版的美化整合版(24.4.6更新),https://www.52pojie.cn/thread-1900660-1-1.html,zimupu,2024-3-14 16:16,110,10062
广告跳过器——Android GKD v1.7.3 正式版,https://www.52pojie.cn/thread-1900452-1-1.html,xiaogang1221,2024-3-14 12:21,845,21670
开源谷歌浏览器Supermium v122.0.6261.152便携版——让旧系统用上新内核（winXP-11）,https://www.52pojie.cn/thread-1900188-1-1.html,心开始の未来,2024-3-14 00:47,685,18781
foobar2000 v2.2 preview,https://www.52pojie.cn/thread-1895502-1-1.html,msclds,2024-3-1 17:42,101,6483
【2024-04-20】发票闪印2.5.20（OFD转PDF支持前3页转换）,https://www.52pojie.cn/thread-1893100-1-1.html,xiyi0519,2024-2-25 09:26,385,16703
office卸载、修复工具集,https://www.52pojie.cn/thread-1891628-1-1.html,royzhang,2024-2-21 09:31,507,17270
XYplorer v25.50.0300 中文绿色便携版,https://www.52pojie.cn/thread-1891167-1-1.html,luo1596320,2024-2-19 21:29,63,5681
中华万年历 谷歌市场版 v2版,https://www.52pojie.cn/thread-1888158-1-1.html,kjkuang,2024-2-5 11:59,556,16806
【跳过开屏广告】跳过广告 ads- 4.7.2版本,https://www.52pojie.cn/thread-1886582-1-1.html,noplll,2024-1-31 14:53,657,27232
快速打开文件夹/程序等路径、快速切换对话框目的文件夹：QuickJump 4.1[2024.3.18],https://www.52pojie.cn/thread-1883997-1-1.html,namejm,2024-1-24 01:13,408,12097
高效启动软件-Quicker v1.41.3,https://www.52pojie.cn/thread-1879582-1-1.html,ShuYun,2024-1-12 01:27,139,13285
批量重命名软件ReNamer-Pro版7.3容量小绿色免安装,https://www.52pojie.cn/thread-1868663-1-1.html,laotulaotu,2023-12-13 17:34,47,3556
oppo讯飞输入法8.2.7969,https://www.52pojie.cn/thread-1856259-1-1.html,mightab2024,2023-11-13 15:03,67,4559
KBLAutoSwitch – 中英文输入法自动切换、输入法指示器V2.4.1,https://www.52pojie.cn/thread-1710012-1-1.html,r396517261,2022-11-9 14:44,106,7790
从win7提取的输入法管理器，win10可用,https://www.52pojie.cn/thread-1603115-1-1.html,k98123,2022-3-14 21:00,166,13022
