企业,排名,企业估值(亿元),CEO,行业
腾讯控股,1,3900,马化腾,互联网服务
台湾积体电路制造,2,36900.00,刘德音,半导体
阿里巴巴,3,2480,张勇,电子商务
字节跳动,4,2250,张利东,传媒和娱乐
宁德时代,5,1490,曾毓群,锂电池
美团,6,14,王兴,生活服务
华为,7,10,梁华,智能手机、电信解决方案
蚂蚁集团,7,1000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910.0,马明哲,金融服务
比亚迪,11,808,王传福,汽车、手机部件及组装
拼多多,12,660,陈磊,电子商务
腾讯控股,1,3900,马化腾,互联网服务
台湾积体电路制造,2,36900.00,刘德音,半导体
阿里巴巴,3,2480,张勇,电子商务
字节跳动,4,2250,张利东,传媒和娱乐
宁德时代,5,1490,曾毓群,锂电池
美团,6,14,王兴,生活服务
华为,7,10,梁华,智能手机、电信解决方案
蚂蚁集团,7,1000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910.0,马明哲,金融服务
比亚迪,11,808,王传福,汽车、手机部件及组装
拼多多,12,660,陈磊,电子商务
腾讯控股,1,3900,马化腾,互联网服务
台湾积体电路制造,2,36900.00,刘德音,半导体
阿里巴巴,3,2480,张勇,电子商务
字节跳动,4,2250,张利东,传媒和娱乐
宁德时代,5,1490,曾毓群,锂电池
美团,6,14,王兴,生活服务
华为,7,10,梁华,智能手机、电信解决方案
蚂蚁集团,7,1000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910.0,马明哲,金融服务
比亚迪,11,808,王传福,汽车、手机部件及组装
拼多多,12,660,陈磊,电子商务
腾讯控股,1,3900,马化腾,互联网服务
台湾积体电路制造,2,36900.00,刘德音,半导体
阿里巴巴,3,2480,张勇,电子商务
字节跳动,4,2250,张利东,传媒和娱乐
宁德时代,5,1490,曾毓群,锂电池
美团,6,14,王兴,生活服务
华为,7,10,梁华,智能手机、电信解决方案
蚂蚁集团,7,1000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910.0,马明哲,金融服务
比亚迪,11,808,王传福,汽车、手机部件及组装
拼多多,12,660,陈磊,电子商务
腾讯控股,1,9企业估值(亿元)：300,马化腾,互联网服务
台湾积体电路制造,2,6企业估值(亿元)：3900.00,刘德音,半导体
阿里巴巴,3,4企业估值(亿元)：280,张勇,电子商务
字节跳动,4,2企业估值(亿元)：250,张利东,传媒和娱乐
宁德时代,5,4企业估值(亿元)：190,曾毓群,锂电池
美团,6,4企业估值(亿元)：1,王兴,生活服务
华为,7,0企业估值(亿元)：1,梁华,智能手机、电信解决方案
蚂蚁集团,7,0企业估值(亿元)：100,井贤栋,金融科技
京东集团,9,0企业估值(亿元)：910,刘强东,电子商务
中国平安保险,10,9企业估值(亿元)：810.0,马明哲,金融服务
比亚迪,11,0企业估值(亿元)：88,王传福,汽车、手机部件及组装
拼多多,12,6企业估值(亿元)：60,陈磊,电子商务
腾讯控股,1,3900,马化腾,互联网服务
台湾积体电路制造,2,36900.00,刘德音,半导体
阿里巴巴,3,2480,张勇,电子商务
字节跳动,4,2250,张利东,传媒和娱乐
宁德时代,5,1490,曾毓群,锂电池
美团,6,14,王兴,生活服务
华为,7,10,梁华,智能手机、电信解决方案
蚂蚁集团,7,1000,井贤栋,金融科技
京东集团,9,9010,刘强东,电子商务
中国平安保险,10,8910.0,马明哲,金融服务
比亚迪,11,808,王传福,汽车、手机部件及组装
拼多多,12,660,陈磊,电子商务
